2000;1;0,079702;0,032055;1
32000;17;11,929306;0,49157;16,6505869
32000;18;11,902739;0,465905;17,56780674
;;;
;;;
40000;1;31,116707;12,793504;1
40000;2;24,865612;6,484779;1,972851195
40000;3;22,70221;4,333135;2,95248221
40000;4;21,767754;3,266203;3,91693474
40000;5;21,059968;2,604713;4,911675106
40000;6;20,667195;2,181179;5,865407653
40000;7;20,378002;1,862146;6,870301255
40000;8;20,088932;1,634865;7,825419224
40000;9;19,935642;1,449419;8,826642951
40000;10;19,833885;1,305084;9,802820355
40000;11;19,626211;1,195446;10,70186692
40000;12;19,457602;1,09045;11,73231602
40000;13;19,358155;1,004742;12,73312353
40000;14;19,27425;0,940369;13,60477004
40000;15;19,180929;0,871777;14,67520249
40000;16;19,304989;0,81667;15,66545116
40000;17;19,120961;0,768948;16,63767121
40000;18;19,134291;0,730551;17,51212989
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2000;1;0,08163;0,032128;1
2828;2;0,128008;0,032615;1,97013644
3464;3;0,175599;0,032651;2,951946342
4000;4;0,223038;0,032626;3,9389444
4472;5;0,268967;0,032612;4,925794186
4898;6;0,318348;0,032761;5,884069473
5291;7;0,365172;0,032813;6,853868893
5656;8;0,407514;0,032746;7,849019728
6000;9;0,454835;0,032819;8,810506109
6324;10;0,499633;0,032898;9,765943218
6633;11;0,545649;0,032885;10,74678425
6928;12;0,597212;0,032909;11,71521468
7211;13;0,637816;0,032951;12,67530576
7483;14;0,684551;0,033076;13,59874229
7745;15;0,730438;0,033088;14,56479691
8000;16;0,775892;0,033058;15,54988203
8246;17;0,823678;0,033134;16,48385344
8485;18;0,869281;0,033116;17,46297862
;;;
;;;
2100;1;0,089232;0,035522;1
2969;2;0,140988;0,035943;1,97657402
3637;3;0,192248;0,035995;2,960577858
4200;4;0,243667;0,035945;3,952928085
4695;5;0,295641;0,035958;4,939373714
5143;6;0,347051;0,036007;5,919182381
5555;7;0,398189;0,036111;6,885824264
5939;8;0,449179;0,036099;7,872129422
6300;9;0,501292;0,036301;8,806864825
6640;10;0,551088;0,036178;9,818674332
6964;11;0,606608;0,036178;10,80054177
7274;12;0,653497;0,036339;11,73020722
7571;13;0,702115;0,036275;12,73014473
7857;14;0,752885;0,036342;13,68411205
8133;15;0,80789;0,036287;14,68377105
8400;16;0,85698;0,036267;15,67132655
8658;17;0,911012;0,036389;16,59496002
8909;18;0,954949;0,03647;17,53210858
;;;
;;;
2200;1;0,09762;0,03887;1
3111;2;0,154509;0,039369;1,974650105
3810;3;0,212434;0,039477;2,953871875
4400;4;0,275995;0,039401;3,946092739
4919;5;0,324492;0,039438;4,927988235
5388;6;0,381252;0,039554;5,896243111
5820;7;0,437886;0,039684;6,856415684
6222;8;0,493331;0,039644;7,843809908
6600;9;0,547784;0,039594;8,835429611
6956;10;0,604658;0,039743;9,780338676
7296;11;0,663272;0,039696;10,77111044
7621;12;0,714223;0,039701;11,74882245
7932;13;0,773272;0,039901;12,66409363
8231;14;0,827552;0,040218;13,53075737
8520;15;0,88863;0,039832;14,63772846
8800;16;0,938141;0,039919;15,57954859
9070;17;0,99765;0,039887;16,56655051
9333;18;1,04978;0,039993;17,49456155
;;;
;;;
2300;1;0,106668;0,04276;1
3252;2;0,169549;0,043084;1,984959614
3983;3;0,232474;0,043135;2,973919091
4600;4;0,29308;0,043073;3,970933067
5142;5;0,354395;0,043121;4,958141045
5633;6;0,414858;0,043148;5,946046167
6085;7;0,479689;0,04326;6,919093851
6505;8;0,536409;0,043362;7,888935012
6900;9;0,604144;0,043361;8,875256567
7273;10;0,66657;0,043465;9,837800529
7628;11;0,722678;0,043405;10,83653957
7967;12;0,781887;0,043442;11,81161088
8292;13;0,843513;0,04343;12,79944739
8605;14;0,90523;0,043435;13,78243352
8907;15;0,965719;0,043544;14,72992835
9200;16;1,025373;0,043468;15,7393945
9483;17;1,081788;0,04359;16,6763019
9757;18;1,147166;0,043593;17,6560457
;;;
;;;
2400;1;0,115802;0,046239;1
3394;2;0,183651;0,046856;1,973663992
4156;3;0,251512;0,046929;2,955890814
4800;4;0,318838;0,046835;3,949097897
5366;5;0,386051;0,046911;4,928375008
5878;6;0,451326;0,046961;5,907753242
6349;7;0,522329;0,047098;6,872330035
6788;8;0,584316;0,047081;7,856927423
7200;9;0,651233;0,047047;8,845431165
7589;10;0,7156;0,047147;9,807410864
7959;11;0,780529;0,047075;10,80465215
8313;12;0,848058;0,047222;11,75020118
8653;13;0,918261;0,047255;12,72049519
8979;14;0,98411;0,047216;13,71031006
9294;15;1,053056;0,047461;14,61378816
9600;16;1,118365;0,047382;15,61403064
9895;17;1,198401;0,047407;16,5811589
10182;18;1,252106;0,047537;17,50850916
;;;
;;;
2500;1;0,126171;0,050301;1
3535;2;0,199483;0,050854;1,978251465
4330;3;0,27254;0,050979;2,960101218
5000;4;0,345325;0,050804;3,960396819
5590;5;0,418351;0,050884;4,942712837
6123;6;0,489794;0,050887;5,930905732
6614;7;0,562772;0,05094;6,912190813
7071;8;0,632494;0,050981;7,89329358
7500;9;0,709087;0,051251;8,833173987
7905;10;0,777915;0,051137;9,83651759
8291;11;0,850808;0,051127;10,82228568
8660;12;0,927784;0,051534;11,71288858
9013;13;0,998214;0,05121;12,76924429
9354;14;1,071361;0,051439;13,69027392
9682;15;1,141032;0,051299;14,70818145
10000;16;1,21368;0,051277;15,695458
10307;17;1,283408;0,05147;16,61389159
10606;18;1,356454;0,051352;17,6316015
