2000;1;0,094038;0,011002;1
40000;14;35,58569;3,224015;1,499321808
40000;15;35,755375;3,422964;1,412178451
40000;16;35,850645;3,489443;1,385274383
40000;17;35,743077;3,354725;1,4409038
40000;18;35,812802;3,486431;1,386471151
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2000;1;0,092041;0,01065;1
2828;2;0,186052;0,018024;1,181757656
3464;3;0,264337;0,019686;1,622980799
4000;4;0,347001;0,021591;1,973044324
4472;5;0,430478;0,024389;2,183361351
4898;6;0,525034;0,037447;1,706411729
5291;7;0,642752;0,047966;1,55422591
5656;8;0,711145;0,061266;1,390657134
6000;9;0,797025;0,065882;1,454873865
6324;10;0,878404;0,067454;1,578853737
6633;11;1,012237;0,078147;1,499097854
6928;12;1,056586;0,084299;1,516032219
7211;13;1,192932;0,088511;1,564212358
7483;14;1,279164;0,091039;1,637759641
7745;15;1,375076;0,101786;1,569469279
8000;16;1,40509;0,109885;1,550712108
8246;17;1,491503;0,114939;1,575183358
8485;18;1,649435;0,122982;1,558764697
;;;
;;;
2100;1;0,101243;0,011435;1
2969;2;0,214126;0,018701;1,222929255
3637;3;0,302921;0,021401;1,602962478
4200;4;0,382499;0,023575;1,94019088
4695;5;0,494662;0,026204;2,181918791
5143;6;0,600933;0,039135;1,753162131
5555;7;0,707468;0,05233;1,529619721
5939;8;0,817377;0,067646;1,35233421
6300;9;0,872442;0,0678;1,517920354
6640;10;0,96505;0,071297;1,6038543
6964;11;1,065675;0,083046;1,514642487
7274;12;1,169012;0,095691;1,433990657
7571;13;1,31166;0,096289;1,543841976
7857;14;1,407873;0,099173;1,614249846
8133;15;1,514143;0,111571;1,537361859
8400;16;1,555433;0,125055;1,463036264
8658;17;1,640513;0,12428;1,564169617
8909;18;1,821049;0,139051;1,480248254
;;;
;;;
2200;1;0,113988;0,015347;1
3111;2;0,230748;0,022592;1,358622521
3810;3;0,3216;0,026373;1,745762712
4400;4;0,424008;0,030349;2,02273551
4919;5;0,546538;0,031918;2,404129331
5388;6;0,641852;0,053221;1,730181695
5820;7;0,755538;0,068479;1,568787511
6222;8;0,867795;0,083217;1,475371619
6600;9;0,975742;0,093158;1,482674596
6956;10;1,077809;0,096645;1,587976615
7296;11;1,187967;0,110087;1,533487151
7621;12;1,361685;0,128624;1,431801219
7932;13;1,407554;0,131966;1,511836382
8231;14;1,575057;0,137974;1,557235421
8520;15;1,62611;0,156203;1,473755306
8800;16;1,742179;0,172109;1,426723762
9070;17;1,84255;0,175138;1,489676712
9333;18;2,037768;0,191394;1,443336782
;;;
;;;
2300;1;0,12325;0,015589;1
3252;2;0,239625;0,024999;1,247169887
3983;3;0,366591;0,029028;1,611099628
4600;4;0,459865;0,030654;2,034188034
5142;5;0,571269;0,034936;2,231079689
5633;6;0,732375;0,058137;1,608854946
6085;7;0,862324;0,075928;1,437190496
6505;8;0,992944;0,093915;1,327924187
6900;9;1,065158;0,100494;1,396113201
7273;10;1,228436;0,105409;1,478905976
7628;11;1,30368;0,125275;1,368820595
7967;12;1,487423;0,140789;1,32871176
8292;13;1,533277;0,141108;1,436183632
8605;14;1,770973;0,152816;1,428161973
8907;15;1,85197;0,169614;1,378630302
9200;16;1,896494;0,184174;1,354284535
9483;17;2,094353;0,185615;1,427756377
9757;18;2,225315;0,208112;1,348322057
;;;
;;;
2400;1;0,135754;0,018372;1
3394;2;0,260061;0,026633;1,379641798
4156;3;0,383094;0,031773;1,734680389
4800;4;0,501803;0,033352;2,203406093
5366;5;0,62186;0,037626;2,441396906
5878;6;0,761505;0,061499;1,792419389
6349;7;0,938069;0,081997;1,568398844
6788;8;1,036041;0,101394;1,449553228
7200;9;1,154617;0,104869;1,576709991
7589;10;1,333657;0,11213;1,638455364
7959;11;1,47809;0,133275;1,516353405
8313;12;1,618655;0,151276;1,457362701
8653;13;1,745953;0,155771;1,533250733
8979;14;1,872833;0,163516;1,572983684
9294;15;1,937868;0,187919;1,4664829
9600;16;2,062561;0,199126;1,476211042
9895;17;2,281757;0,204864;1,524543112
10182;18;2,322954;0,224999;1,469766532
;;;
;;;
2500;1;0,14654;0,01923;1
3535;2;0,294699;0,029236;1,315501437
4330;3;0,415647;0,034149;1,689361328
5000;4;0,544219;0,036115;2,129862938
5590;5;0,673296;0,039886;2,410620268
6123;6;0,862803;0,06686;1,725695483
6614;7;0,976389;0,089845;1,498246981
7071;8;1,17097;0,109399;1,406228576
7500;9;1,254975;0,114861;1,506777757
7905;10;1,444915;0,120174;1,600179739
8291;11;1,601307;0,142804;1,481261029
8660;12;1,681344;0,163335;1,41280191
9013;13;1,892311;0,169688;1,473233228
9354;14;1,950211;0,178763;1,506016346
9682;15;2,095832;0,199558;1,445444432
10000;16;2,236615;0,215478;1,427895191
10307;17;2,479002;0,224992;1,452984995
10606;18;2,525175;0,248783;1,391333009
